"underlyer","asset_class","bb_symbol","bb_type","bb_field"
"PFE_US","EQUITY","PFE US","Equity","last_price"
"IYR_US","EQUITY","IYR US","Equity","last_price"
"GE_US","EQUITY","GE US","Equity","last_price"
"QCOM_US","EQUITY","QCOM US","Equity","last_price"
"INTC_US","EQUITY","INTC US","Equity","last_price"
"CVX_US","EQUITY","CVX US","Equity","last_price"
"MCD_US","EQUITY","MCD US","Equity","last_price"
"JNJ_US","EQUITY","JNJ US","Equity","last_price"
"CAT_US","EQUITY","CAT US","Equity","last_price"
"CSCO_US","EQUITY","CSCO US","Equity","last_price"
"KO_US","EQUITY","KO US","Equity","last_price"
"DIS_US","EQUITY","DIS US","Equity","last_price"
"WFC_US","EQUITY","WFC US","Equity","last_price"
"GDX_US","EQUITY","GDX US","Equity","last_price"
"V_US","EQUITY","V US","Equity","last_price"
"VZ_US","EQUITY","VZ US","Equity","last_price"
"BRK/B_US","EQUITY","BRK/B US","Equity","last_price"
"USO_US","EQUITY","USO US","Equity","last_price"
"OXY_US","EQUITY","OXY US","Equity","last_price"
"MRK_US","EQUITY","MRK US","Equity","last_price"
"PEP_US","EQUITY","PEP US","Equity","last_price"
"WMT_US","EQUITY","WMT US","Equity","last_price"
"IBB_US","EQUITY","IBB US","Equity","last_price"
"FCX_US","EQUITY","FCX US","Equity","last_price"
"SLB_US","EQUITY","SLB US","Equity","last_price"
"MMM_US","EQUITY","MMM US","Equity","last_price"
"BMY_US","EQUITY","BMY US","Equity","last_price"
"XOP_US","EQUITY","XOP US","Equity","last_price"
"HD_US","EQUITY","HD US","Equity","last_price"
"MDY_US","EQUITY","MDY US","Equity","last_price"
"PM_US","EQUITY","PM US","Equity","last_price"
"XHB_US","EQUITY","XHB US","Equity","last_price"
"ORCL_US","EQUITY","ORCL US","Equity","last_price"
"AMGN_US","EQUITY","AMGN US","Equity","last_price"
"COP_US","EQUITY","COP US","Equity","last_price"
"XLI_US","EQUITY","XLI US","Equity","last_price"
"XLK_US","EQUITY","XLK US","Equity","last_price"
"XLP_US","EQUITY","XLP US","Equity","last_price"
"AUDUSD","FX","AUDUSD","Curncy","last_price"
"EURGBP","FX","EURGBP","Curncy","last_price"
"EURJPY","FX","EURJPY","Curncy","last_price"
"EURNOK","FX","EURNOK","Curncy","last_price"
"EURSEK","FX","EURSEK","Curncy","last_price"
"EURUSD","FX","EURUSD","Curncy","last_price"
"GBPUSD","FX","GBPUSD","Curncy","last_price"
"USDCAD","FX","USDCAD","Curncy","last_price"
"USDJPY","FX","USDJPY","Curncy","last_price"
"XAUUSD","FX","XAUUSD","Curncy","last_price"
"SPY_US","EQUITY","SPY US","Equity","last_price"
"AAPL_US","EQUITY","AAPL US","Equity","last_price"
"IWM_US","EQUITY","IWM US","Equity","last_price"
"QQQ_US","EQUITY","QQQ US","Equity","last_price"
"EEM_US","EQUITY","EEM US","Equity","last_price"
"GLD_US","EQUITY","GLD US","Equity","last_price"
"EWZ_US","EQUITY","EWZ US","Equity","last_price"
"EFA_US","EQUITY","EFA US","Equity","last_price"
"VXX_US","EQUITY","VXX US","Equity","last_price"
"AMZN_US","EQUITY","AMZN US","Equity","last_price"
"BAC_US","EQUITY","BAC US","Equity","last_price"
"TLT_US","EQUITY","TLT US","Equity","last_price"
"C_US","EQUITY","C US","Equity","last_price"
"MSFT_US","EQUITY","MSFT US","Equity","last_price"
"DIA_US","EQUITY","DIA US","Equity","last_price"
"FXI_US","EQUITY","FXI US","Equity","last_price"
"PG_US","EQUITY","PG US","Equity","last_price"
"XLE_US","EQUITY","XLE US","Equity","last_price"
"XOM_US","EQUITY","XOM US","Equity","last_price"
"JPM_US","EQUITY","JPM US","Equity","last_price"
"CMCSA_US","EQUITY","CMCSA US","Equity","last_price"
"IBM_US","EQUITY","IBM US","Equity","last_price"
"XLF_US","EQUITY","XLF US","Equity","last_price"
"SLV_US","EQUITY","SLV US","Equity","last_price"
"T_US","EQUITY","T US","Equity","last_price"
"UPS_US","EQUITY","UPS US","Equity","last_price"
"GOOG_US","EQUITY","GOOG US","Equity","last_price"
"XLU_US","EQUITY","XLU US","Equity","last_price"
"EWW_US","EQUITY","EWW US","Equity","last_price"
"AXP_US","EQUITY","AXP US","Equity","last_price"
"MON_US","EQUITY","MON US","Equity","last_price"
"XLB_US","EQUITY","XLB US","Equity","last_price"
"XLV_US","EQUITY","XLV US","Equity","last_price"
"UTX_US","EQUITY","UTX US","Equity","last_price"
"MO_US","EQUITY","MO US","Equity","last_price"
"XRT_US","EQUITY","XRT US","Equity","last_price"
"USB_US","EQUITY","USB US","Equity","last_price"
"EWJ_US","EQUITY","EWJ US","Equity","last_price"
"XLY_US","EQUITY","XLY US","Equity","last_price"
"MOS_US","EQUITY","MOS US","Equity","last_price"
"XME_US","EQUITY","XME US","Equity","last_price"
"CVS_US","EQUITY","CVS US","Equity","last_price"
"ABT_US","EQUITY","ABT US","Equity","last_price"
"OIH_US","EQUITY","OIH US","Equity","last_price"
"GS_US","EQUITY","GS US","Equity","last_price"
